Island,collection_id,img0: id0,img0: id1,img1: id0,img1: id1
dominica,NCAP_DOS_16_WW,1,41,1,53
dominica,NCAP_DOS_16_WW,1,31,1,29
dominica,NCAP_DOS_16_WW,1,17,1,18
dominica,NCAP_DOS_16_WW,1,17,1,40
dominica,NCAP_DOS_16_WW,1,82,1,10
dominica,NCAP_DOS_16_WW,1,82,1,9
dominica,NCAP_DOS_16_WW,1,41,1,54
dominica,NCAP_DOS_16_WW,1,68,1,82
dominica,NCAP_DOS_16_WW,1,68,1,70
dominica,NCAP_DOS_16_WW,1,70,1,57
dominica,NCAP_DOS_16_WW,1,57,1,68
dominica,NCAP_DOS_16_WW,1,74,1,73
dominica,NCAP_DOS_16_WW,1,74,1,75
dominica,NCAP_DOS_16_WW,1,60,1,73
dominica,NCAP_DOS_16_WW,1,71,1,58
dominica,NCAP_DOS_16_WW,1,60,1,65
dominica,NCAP_DOS_16_WW,1,75,1,62
dominica,NCAP_DOS_16_WW,1,62,1,76
dominica,NCAP_DOS_16_WW,1,79,1,78
montserrat,NCAP_DOS_8_MO,1,1,1,24
montserrat,NCAP_DOS_8_MO,1,1,2,1
montserrat,NCAP_DOS_8_MO,1,39,1,23
montserrat,NCAP_DOS_8_MO,1,38,1,39
montserrat,NCAP_DOS_8_MO,2,1,3,1
montserrat,NCAP_DOS_8_MO,1,2,3,1
montserrat,NCAP_DOS_8_MO,3,1,3,2
montserrat,NCAP_DOS_8_MO,3,2,3,3
montserrat,NCAP_DOS_8_MO,3,3,3,4
montserrat,NCAP_DOS_8_MO,3,4,3,5
montserrat,NCAP_DOS_8_MO,3,7,3,8
montserrat,NCAP_DOS_8_MO,3,8,3,9
montserrat,NCAP_DOS_8_MO,3,10,2,10
montserrat,NCAP_DOS_8_MO,2,8,2,9
montserrat,NCAP_DOS_8_MO,1,13,2,10
montserrat,NCAP_DOS_8_MO,1,13,3,10
montserrat,NCAP_DOS_8_MO,1,30,1,31
montserrat,NCAP_DOS_8_MO,1,9,1,11
montserrat,NCAP_DOS_8_MO,1,38,1,25
montserrat,NCAP_DOS_8_MO,1,33,1,31
jamaica,NCAP_DOS_55_JA,3,45,3,44
jamaica,NCAP_DOS_55_JA,8,59,8,58
jamaica,NCAP_DOS_55_JA,8,58,8,57
jamaica,NCAP_DOS_55_JA,8,98,8,99
jamaica,NCAP_DOS_55_JA,8,92,8,93
jamaica,NCAP_DOS_55_JA,9,37,9,36
jamaica,NCAP_DOS_55_JA,9,36,9,35
jamaica,NCAP_DOS_55_JA,9,35,9,34
jamaica,NCAP_DOS_55_JA,9,34,9,33
jamaica,NCAP_DOS_55_JA,9,33,9,32
jamaica,NCAP_DOS_55_JA,26,28,26,29
jamaica,NCAP_DOS_55_JA,26,29,26,30
jamaica,NCAP_DOS_55_JA,10,9,10,10
jamaica,NCAP_DOS_55_JA,9,60,9,61
jamaica,NCAP_DOS_55_JA,9,61,9,62
jamaica,NCAP_DOS_55_JA,9,62,9,63
jamaica,NCAP_DOS_55_JA,9,63,9,64
jamaica,NCAP_DOS_55_JA,9,64,9,65
jamaica,NCAP_DOS_55_JA,10,61,10,60
jamaica,NCAP_DOS_55_JA,10,62,10,61
jamaica,NCAP_DOS_55_JA,10,63,10,62
jamaica,NCAP_DOS_55_JA,10,64,10,63
jamaica,NCAP_DOS_55_JA,10,65,10,64
jamaica,NCAP_DOS_55_JA,11,34,11,35
jamaica,NCAP_DOS_55_JA,11,36,11,37
jamaica,NCAP_DOS_55_JA,27,12,27,11
jamaica,NCAP_DOS_55_JA,27,68,27,69
jamaica,NCAP_DOS_55_JA,27,65,27,66
jamaica,NCAP_DOS_55_JA,27,66,27,67
jamaica,NCAP_DOS_55_JA,7,28,7,29
jamaica,NCAP_DOS_55_JA,16,151,16,152
jamaica,NCAP_DOS_55_JA,16,152,16,153
jamaica,NCAP_DOS_55_JA,16,100,16,99
jamaica,NCAP_DOS_55_JA,16,101,16,100
jamaica,NCAP_DOS_55_JA,16,102,16,101
jamaica,NCAP_DOS_55_JA,17,20,17,21
jamaica,NCAP_DOS_55_JA,17,21,17,22
jamaica,NCAP_DOS_55_JA,1,19,1,21
jamaica,NCAP_DOS_55_JA,1,74,1,75
jamaica,NCAP_DOS_55_JA,1,75,5,12
jamaica,NCAP_DOS_55_JA,1,75,1,123
jamaica,NCAP_DOS_55_JA,2,189,2,129
jamaica,NCAP_DOS_55_JA,2,128,2,50
jamaica,NCAP_DOS_55_JA,8,78,9,48
jamaica,NCAP_DOS_55_JA,26,40,9,49
jamaica,NCAP_DOS_55_JA,15,5,11,33
jamaica,NCAP_DOS_55_JA,37,2,31,32
jamaica,NCAP_DOS_55_JA,16,120,16,89
jamaica,NCAP_DOS_55_JA,17,28,16,2
jamaica,NCAP_DOS_55_JA,1,1,1,50
jamaica,NCAP_DOS_55_JA,1,50,1,51
jamaica,NCAP_DOS_55_JA,1,51,1,97
jamaica,NCAP_DOS_55_JA,1,96,1,99
jamaica,NCAP_DOS_55_JA,1,99,1,139
jamaica,NCAP_DOS_55_JA,1,99,3,83
