island,collection_id,img1id0,img1id1,img2id0,img2id1,,collection_id (original)
stvincentgrenadines,NCAP_DOS_2_CAR,23,67,23,68,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,68,23,69,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,69,23,70,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,71,23,72,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,72,23,73,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,73,23,74,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,75,23,76,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,76,23,77,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,21,54,21,53,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,21,53,21,52,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,19,114,19,113,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,19,113,19,112,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,22,147,23,3,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,31,22,127,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,23,31,23,80,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,21,3,23,80,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,19,96,21,67,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,21,66,19,114,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,19,114,21,57,,NCAP_DOS_CAR
stvincentgrenadines,NCAP_DOS_2_CAR,21,16,23,64,,NCAP_DOS_CAR
stlucia,NCAP_DOS_3_WW,2,180,2,178,,NCAP_DOS_3_WW
